time,sStock
42.25,3989.44605786731
42.5,4049.3930096924105
42.75,4109.633875567356
43,4170.151995978513
43.25,4230.9303767040665
43.5,4291.951706490375
43.75,4353.1983755255205
44,4414.652494671964
44.25,4476.295915416979
44.5,4538.110250496457
44.75,4600.076895144716
45,4662.177048920224
45.25,4724.391738054533
45.5,4786.701838269401
45.75,4849.088098004907
46,4911.531161999497
46.25,4974.011595161254
46.5,5036.509906668289
46.75,5099.006574235076
47,5161.482068480722
47.25,5223.91687733462
47.5,5286.291530414732
47.75,5348.586623313764
48,5410.782841728881
48.25,5472.860985371234
48.5,5534.801991592519
48.75,5596.5869586669905
49,5658.197168668862
49.25,5719.614109886753
49.5,5780.819498718883
49.75,5841.795300994933
50,5902.523752672991
50.25,5962.987379862643
50.5,6023.1690181282065
50.75,6083.051831029063
51,6142.619327857325
51.25,6201.855380536342
51.5,6260.7442396470315
51.75,6319.270549552523
52,6377.419362595232
52.25,6435.176152344102
52.5,6492.526825873459
52.75,6549.457735058579
53,6605.955686876747
53.25,6662.007952706217
53.5,6717.60227661907
53.75,6772.726882667453
54,6827.370481166123
54.25,6881.52227397753
54.5,6935.171958808846
54.75,6988.309732533447
55,7040.926293552228
55.25,7093.012843212946
55.5,7144.56108630831
55.75,7195.563230676041
56,7246.0119859262995
56.25,7295.900561323988
56.5,7345.222662855268
56.75,7393.972489509343
57,7442.144728808024
57.25,7489.7345516169125
57.5,7536.737606273125
57.75,7583.150012065424
58,7628.968352103339
58.25,7674.189665612437
58.5,7718.811439693266
58.75,7762.831600581749
59,7806.248504448816
59.25,7849.060927777013
59.5,7891.268057351549
59.75,7932.869479902895
60,7973.865171437531
60.25,8014.255486292808
60.5,8054.041145951192
60.75,8093.2232276482855
61,8131.803152808128
61.25,8169.782675338281
61.5,8207.163869816093
61.75,8243.949119596458
62,8280.141104870132
62.25,8315.742790700486
62.5,8350.75741506528
62.75,8385.188476928743
63,8419.039724367914
63.25,8452.3151427759
63.5,8485.0189431633
63.75,8517.155550577783
64,8548.729592660384
64.25,8579.745888355825
64.5,8610.209436792824
64.75,8640.125406349054
65,8669.499123914184
65.25,8698.336064363166
65.5,8726.641840250742
65.75,8754.422191736974
66,8781.682976752456
66.25,8808.430161410808
66.5,8834.66981067495
66.75,8860.408079282695
67,8885.651202936218
67.25,8910.40548975902
67.5,8934.677312023176
67.75,8958.473098148801
68,8981.799324976882
68.25,9004.662510315917
68.5,9027.069205762093
68.75,9049.025989792099
69,9070.53946112707
69.25,9091.616232365588
69.5,9112.262923883194
69.75,9132.486157995334
70,9152.292553380277
70.25,9171.688719758135
70.5,9190.681252821742
70.75,9209.276729414862
71,9227.481702952879
71.25,9245.302699080876
71.5,9262.746211563817
71.75,9279.818698403313
72,9296.526578175306
72.25,9312.876226582888
72.5,9328.87397321833
72.75,9344.526098528311
73,9359.838830976327
73.25,9374.818344396104
73.5,9389.470755529943
73.75,9403.802121745812
74,9417.81843892708
74.25,9431.525639528769
74.5,9444.929590794267
74.75,9458.036093126471
75,9470.850878607425
75.25,9483.379609660564
75.5,9495.627877849764
75.75,9507.601202809514
76,9519.30503130059
76.25,9530.744736385743
76.5,9541.925616720026
76.75,9552.852895950482
77,9563.53172222007
77.25,9573.967167770797
77.5,9584.164228641184
77.75,9594.1278244533
78,9603.862798284761
78.25,9613.373916621185
78.5,9622.665869384784
78.75,9631.743270034847
79,9640.610655736065
79.25,9649.272487590737
79.5,9657.733150931066
79.75,9665.99695566786
80,9674.068136692107
80.25,9681.950854326005
80.5,9689.649194820195
80.75,9697.167170894001
81,9704.50872231569
81.25,9711.67771651983
81.5,9718.677949258956
81.75,9725.5131452868991
82,9732.186959071201
82.25,9738.702975532193
82.5,9745.064710806399
82.75,9751.275613032049
83,9757.339063154566
83.25,9763.258375750025
83.5,9769.036799864643
83.75,9774.677519868485
84,9780.18365632164
84.25,9785.558266851229
84.5,9790.804347037658
84.75,9795.92483130867
85,9800.922593839763
85.25,9805.80044945966
85.5,9810.561154559595
85.75,9815.2074080052
86,9819.74185204993
86.25,9824.167073248926
86.5,9828.485603372377
86.75,9832.699920317442
87,9836.81244901785
87.25,9840.825562350416
87.5,9844.741582037652
87.75,9848.56277954584
88,9852.291376977848
88.25,9855.929547960113
88.5,9859.479418523233
88.75,9862.943067975606
89,9866.322529769675
89.25,9869.619792360316
89.5,9872.836800054947
89.75,9875.975453855022
90,9879.03761228853
90.25,9882.025092233214
90.5,9884.939669730227
90.75,9887.783080787967
91,9890.557022175875
91.25,9893.26315220799
91.5,9895.903091516098
91.75,9898.478423812307
92,9900.99069664092
92.25,9903.441422119518
92.5,9905.832077669125
92.75,9908.164106733408
93,9910.438919486842
93.25,9912.657893531814
93.5,9914.8223745846135
93.75,9916.93367715032
94,9918.993085186583
94.25,9921.001852756299
94.5,9922.961204669222
94.75,9924.872337112527
95,9926.736418270386
95.25,9928.554588932606
95.5,9930.327963092384
95.75,9932.057628533257
96,9933.744647405325
96.25,9935.390056790824
96.5,9936.99486925915
96.75,9938.560073411421
97,9940.086634414687
97.25,9941.575494525881
97.5,9943.027573605634
97.75,9944.44376962207
98,9945.824959144684
98.25,9947.171997828438
98.5,9948.485720888193
98.75,9949.766943563607
99,9951.01646157462
99.25,9952.235051567663
99.5,9953.423471552724
99.75,9954.5824613314
100,9955.712742916068
